periode_data,kota_kabupaten,kecamatan,jumlah_penduduk,kepadatan_penduduk,nama_fasilitas,jenis_fasilitas,latitude,longtitude,,,,,,
2023,JAKARTA UTARA,PENJARINGAN,"329,789","8,982",GOR Kamal Muara,Gelanggang ,-6095975,106722011,,,,,,
2023,JAKARTA UTARA,PENJARINGAN,"329,789","8,982",Stadion dan GOR Kamal Muara,Sepak Bola,-6095975,106722011,,,,,,
2023,JAKARTA UTARA,PENJARINGAN,"329,789","8,982",Lapangan Ingub Muara Angke,Sepak Bola,-6108447,106772793,,,,,,
2023,JAKARTA UTARA,PENJARINGAN,"329,789","8,982",GOR Kamal Muara,Gelanggang ,-6095975,106722011,,,,,,
2023,JAKARTA UTARA,PENJARINGAN,"329,789","8,982",Stadion dan GOR Kamal Muara,Sepak Bola,-6095975,106722011,,,,,,
2023,JAKARTA UTARA,PENJARINGAN,"329,789","8,982",Lapangan Ingub Muara Angke,Sepak Bola,-6108447,106772793,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gelanggang Remaja Kecamatan Tanjung Priok,Gelanggang ,-613901,10687148,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gelanggang Olahraga Sunter,Gelanggang ,"-61,726,732,006,241","10,682,021,678,466",,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Jakarta International Roller Track Arena,Sepatu Roda,-61467,10687843,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Kolam Renang GOR Sunter,Renang,"-61,726,732,006,241",1.0682E+14,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gedung Bulutangkis GOR Sunter,Bulutangkis,-614772,10687631,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gedung Serbaguna Sunter,Gelanggang ,-614766,10687561,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Stadion Sepakbola GOR Sunter,Sepak Bola,-6146668,106875611,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Kolam Renang GOR Sunter,Renang,"-61,726,732,006,241",1.0682E+14,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gedung Bulutangkis GOR Sunter,Bulutangkis,-614772,10687631,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gedung Serbaguna Sunter,Gelanggang ,-614766,10687561,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gelanggang Remaja Kecamatan Tanjung Priok,Gelanggang ,-613901,10687148,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Gelanggang Olahraga Sunter,Gelanggang ,"-61,726,732,006,241","10,682,021,678,466",,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Jakarta International Roller Track Arena,Sepatu Roda,-61467,10687843,,,,,,
2023,JAKARTA UTARA,TANJUNG PRIOK,"422,294","18,719",Stadion Sepakbola GOR Sunter,Sepak Bola,-6146668,106875611,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Gedung Olahraga (GOR) Jakarta Utara,Gelanggang ,-611874,10689272,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Gelanggang Remaja Kecamatan Koja,Gelanggang ,-61324,10691392,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Stadion Sepakbola Rawabadak,Sepak Bola,-6124943,106897724,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Wall Climbing Stadion Rawabadak,Panjat Tebing,-61241,10689789,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Kolam Renang Rawabadak,Renang,-6126227,106897791,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Lapangan Tenis Rawabadak,Tenis,-61241,10689789,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Stadion Sepakbola Rawabadak,Sepak Bola,-6124943,106897724,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Wall Climbing Stadion Rawabadak,Panjat Tebing,-61241,10689789,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Kolam Renang Rawabadak,Renang,-6126227,106897791,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Lapangan Tenis Rawabadak,Tenis,-61241,10689789,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Gedung Olahraga (GOR) Jakarta Utara,Gelanggang ,-611874,10689272,,,,,,
2023,JAKARTA UTARA,KOJA,"352,474","30,481",Gelanggang Remaja Kecamatan Koja,Gelanggang ,-61324,10691392,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Gedung Serbaguna Semper Barat,Gelanggang ,-612589,10692521,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Gelanggang Olahraga (GOR) Sekda Saefullah,Gelanggang ,-6136907,106965651,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Lapangan Sepakbola Sintetis GOR Sekda Saefullah,Sepak Bola,-6136907,106965651,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Tenis Lapangan GOR Sekda Saefullah,Tenis,-6136907,106965651,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Lapangan Sepakbola Kalibaru,Sepak Bola,-6101197,106924907,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Lapangan Sepakbola Rorotan,Sepak Bola,-6138961,106955082,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Gedung Serbaguna Semper Barat,Gelanggang ,-612589,10692521,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Gelanggang Olahraga (GOR) Sekda Saefullah,Gelanggang ,-6136907,106965651,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Lapangan Sepakbola Sintetis GOR Sekda Saefullah,Sepak Bola,-6136907,106965651,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Tenis Lapangan GOR Sekda Saefullah,Tenis,-6136907,106965651,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Lapangan Sepakbola Kalibaru,Sepak Bola,-6101197,106924907,,,,,,
2023,JAKARTA UTARA,CILINCING,"453,027","10,866",Lapangan Sepakbola Rorotan,Sepak Bola,-6138961,106955082,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gelanggang Remaja Kecamatan Pademangan,Gelanggang ,-61327,10683719,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gelanggang Olahraga Bahtera Jaya,Gelanggang ,-61129,10686394,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Yacth Club (Gedung Serbaguna),Gelanggang ,-61129,10686394,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gedung Olahraga Venue Jetski,Jetski,-61207,10683492,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gedung Olahraga Venue Layar,Layar,-61167,10682096,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gelanggang Olahraga Bahtera Jaya,Gelanggang ,-61129,10686394,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Yacth Club (Gedung Serbaguna),Gelanggang ,-61129,10686394,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gedung Olahraga Venue Jetski,Jetski,-61207,10683492,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gedung Olahraga Venue Layar,Layar,-61167,10682096,,,,,,
2023,JAKARTA UTARA,PADEMANGAN,"171,335","13,815",Gelanggang Remaja Kecamatan Pademangan,Gelanggang ,-61327,10683719,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Gelanggang Remaja Kecamatan Kelapa Gading,Gelanggang ,-616451,10690841,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Gedung Judo Kelapa Gading,Judo,-616293,10690695,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Stadion Sepakbola Tugu,Sepak Bola,-6136936,106913505,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Kolam Renang,Renang,,,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Gedung Judo Kelapa Gading,Judo,-616293,10690695,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Gelanggang Remaja Kecamatan Kelapa Gading,Gelanggang ,-616451,10690841,,,,,,
2023,JAKARTA UTARA,KELAPA GADING,"146,301","8,953",Stadion Sepakbola Tugu,Sepak Bola,-6136936,106913505,,,,,,
2023,JAKARTA UTARA,CENGKARENG,"590,335","22,234",Gedung Bulutangkis Cendrawasih,Bulutangkis,-614273,10672221,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Gedung Serbaguna GOR Cendrawasih,Gelanggang ,-614173,10672053,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Stadion Sepakbola GOR Cendrawasih,Sepak Bola,6142689,106721338,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Lapangan Sepakbola Terbuka GOR Cendrawasih,Sepak Bola,-614277,106720251,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Wall Climbing GOR Cendrawasih,Panjat Tebing,-614367,10672087,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Gelanggang Remaja Kecamatan Cengkareng,Gelanggang ,"-615,032","106,722,156",,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Gelanggang Remaja Kecamatan Cengkareng,Gelanggang ,"-615,032","106,722,156",,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Gedung Bulutangkis Cendrawasih,Bulutangkis,-614273,10672221,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Gedung Serbaguna GOR Cendrawasih,Gelanggang ,-614173,10672053,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Stadion Sepakbola GOR Cendrawasih,Sepak Bola,6142689,106721338,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Lapangan Sepakbola Terbuka GOR Cendrawasih,Sepak Bola,-614277,106720251,,,,,,
2023,JAKARTA BARAT,CENGKARENG,"590,335","22,234",Wall Climbing GOR Cendrawasih,Panjat Tebing,-614367,10672087,,,,,,
2023,JAKARTA BARAT,GROGOL PETAMBURAN,"239,061","21,805",Kolam Renang GR Jakarta Barat,Renang,-616098,10679715,,,,,,
2023,JAKARTA BARAT,GROGOL PETAMBURAN,"239,061","21,805",Gelanggang Remaja Kota Administrasi Jakarta Barat,Gelanggang ,"10,679,694,551,145","-6,160,898,241,603",,,,,,
2023,JAKARTA BARAT,GROGOL PETAMBURAN,"239,061","21,805",Gelanggang Remaja Kecamatan Grogol Petamburan,Gelanggang ,"-61,767,534,077,929","10,678,118,428,662",,,,,,
